date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand
2018-01-11,Angelique Kerber,Dominika Cibulkova,0.537,0.463,LH,RH
2018-06-10,Rafael Nadal,Dominic Thiem,0.6742,0.3258,LH,RH
2018-09-05,Rafael Nadal,Dominic Thiem,0.6843,0.3157,LH,RH
2018-01-25,Simona Halep,Angelique Kerber,0.3878,0.6122,RH,LH
2018-06-06,Simona Halep,Angelique Kerber,0.4587,0.5414,RH,LH
2018-08-08,Elina Svitolina,Mihaela Buzarnescu,0.543,0.4571,RH,LH
2018-09-01,Juan Martin Del Potro,Fernando Verdasco,0.6798,0.3202,RH,LH
2018-01-02,Karolina Pliskova,Jelena Ostapenko,0.5682,0.4318,RH,RH
2018-01-04,Elina Svitolina,Johanna Konta,0.4912,0.5088,RH,RH
2018-01-04,Katerina Siniakova,Karolina Pliskova,0.3606,0.6394,RH,RH
2018-01-05,Elina Svitolina,Karolina Pliskova,0.4516,0.5484,RH,RH
2018-01-06,Nick Kyrgios,Grigor Dimitrov,0.6473,0.3527,RH,RH
2018-01-06,Simona Halep,Katerina Siniakova,0.5823,0.4177,RH,RH
2018-01-08,Lesia Tsurenko,Timea Babos,0.3713,0.6287,RH,RH
2018-01-09,Agnieszka Radwanska,Johanna Konta,0.5341,0.4658,RH,RH
2018-01-10,Aryna Sabalenka,Shuai Zhang,0.6947,0.3053,RH,RH
2018-01-15,Kiki Bertens,Catherine Cartan Bellis,0.5615,0.4385,RH,RH
2018-01-16,Agnieszka Radwanska,Karolina Pliskova,0.3729,0.6271,RH,RH
2018-01-21,Grigor Dimitrov,Nick Kyrgios,0.363,0.6369,RH,RH
2018-01-22,Simona Halep,Naomi Osaka,0.6461,0.3539,RH,RH
2018-01-24,Roger Federer,Tomas Berdych,0.6765,0.3235,RH,RH
2018-01-24,Simona Halep,Karolina Pliskova,0.4014,0.5985,RH,RH
2018-01-27,Caroline Wozniacki,Simona Halep,0.5502,0.4498,RH,RH
2018-01-30,Dominika Cibulkova,Sorana Cirstea,0.6687,0.3313,RH,RH
2018-02-10,Lucas Pouille,Jo Wilfried Tsonga,0.4541,0.5459,RH,RH
2018-02-15,Catherine Cartan Bellis,Karolina Pliskova,0.3367,0.6633,RH,RH
2018-02-15,Garbine Muguruza,Sorana Cirstea,0.7227,0.2773,RH,RH
2018-02-15,Simona Halep,Anastasija Sevastova,0.6071,0.393,RH,RH
2018-02-16,Garbine Muguruza,Caroline Garcia,0.4693,0.5308,RH,RH
2018-02-17,Grigor Dimitrov,David Goffin,0.4757,0.5243,RH,RH
2018-02-22,Daria Kasatkina,Elena Vesnina,0.4974,0.5026,RH,RH
2018-02-22,Garbine Muguruza,Caroline Garcia,0.4693,0.5308,RH,RH
2018-02-24,Elina Svitolina,Daria Kasatkina,0.6758,0.3242,RH,RH
2018-02-27,Ryan Harrison,John Isner,0.4485,0.5515,RH,RH
2018-03-01,Juan Martin Del Potro,David Ferrer,0.7606,0.2394,RH,RH
2018-03-02,Juan Martin Del Potro,Dominic Thiem,0.6331,0.3669,RH,RH
2018-03-04,Juan Martin Del Potro,Kevin Anderson,0.5293,0.4707,RH,RH
2018-03-08,Sorana Cirstea,Monica Niculescu,0.4716,0.5284,RH,RH
2018-03-09,Simona Halep,Karolina Pliskova,0.4887,0.5113,RH,RH
2018-03-12,Anastasija Sevastova,Julia Goerges,0.3144,0.6857,RH,RH
2018-03-12,Juan Martin Del Potro,Alex De Minaur,0.7044,0.2956,RH,RH
2018-03-13,Carla Suarez Navarro,Elina Svitolina,0.3884,0.6116,RH,RH
2018-03-13,Juan Martin Del Potro,David Ferrer,0.7067,0.2933,RH,RH
2018-03-14,Kevin Anderson,Pablo Carreno Busta,0.6568,0.3431,RH,RH
2018-03-17,Juan Martin Del Potro,Milos Raonic,0.4883,0.5118,RH,RH
2018-03-17,Naomi Osaka,Simona Halep,0.3734,0.6267,RH,RH
2018-03-18,Juan Martin Del Potro,Roger Federer,0.3414,0.6586,RH,RH
2018-03-24,Agnieszka Radwanska,Simona Halep,0.4767,0.5233,RH,RH
2018-03-26,Elina Svitolina,Ashleigh Barty,0.5766,0.4234,RH,RH
2018-03-26,Milos Raonic,Diego Schwartzman,0.736,0.264,RH,RH
2018-03-26,Venus Williams,Johanna Konta,0.4744,0.5256,RH,RH
2018-03-28,Alexander Zverev,Nick Kyrgios,0.4511,0.5489,RH,RH
2018-03-28,Jelena Ostapenko,Elina Svitolina,0.5267,0.4733,RH,RH
2018-03-29,Juan Martin Del Potro,Milos Raonic,0.4919,0.5081,RH,RH
2018-03-29,Pablo Carreno Busta,Kevin Anderson,0.3431,0.6568,RH,RH
2018-03-30,Alexander Zverev,Borna Coric,0.6407,0.3593,RH,RH
2018-03-30,John Isner,Juan Martin Del Potro,0.5998,0.4002,RH,RH
2018-04-03,Karolina Pliskova,Katerina Siniakova,0.6911,0.3089,RH,RH
2018-04-06,Anastasija Sevastova,Karolina Pliskova,0.3379,0.6621,RH,RH
2018-04-08,Julia Goerges,Anastasija Sevastova,0.6593,0.3407,RH,RH
2018-04-08,Kiki Bertens,Madison Keys,0.4713,0.5287,RH,RH
2018-04-19,Dominic Thiem,Novak Djokovic,0.4637,0.5363,RH,RH
2018-04-20,Grigor Dimitrov,David Goffin,0.477,0.523,RH,RH
2018-04-27,Coco Vandeweghe,Simona Halep,0.6003,0.3997,RH,RH
2018-04-27,Karolina Pliskova,Jelena Ostapenko,0.5879,0.4121,RH,RH
2018-04-27,Pablo Carreno Busta,Grigor Dimitrov,0.4012,0.5988,RH,RH
2018-04-29,Karolina Pliskova,Coco Vandeweghe,0.5046,0.4955,RH,RH
2018-05-05,Kristina Mladenovic,Coco Vandeweghe,0.5261,0.4739,RH,RH
2018-05-07,Novak Djokovic,Kei Nishikori,0.5914,0.4086,RH,RH
2018-05-08,Carla Suarez Navarro,Elina Svitolina,0.3884,0.6116,RH,RH
2018-05-09,Daria Kasatkina,Garbine Muguruza,0.4464,0.5536,RH,RH
2018-05-09,Simona Halep,Karolina Pliskova,0.4355,0.5645,RH,RH
2018-05-10,Karolina Pliskova,Simona Halep,0.5645,0.4355,RH,RH
2018-05-13,Alexander Zverev,Dominic Thiem,0.5265,0.4735,RH,RH
2018-05-16,Simona Halep,Naomi Osaka,0.5968,0.4032,RH,RH
2018-05-17,Caroline Wozniacki,Anastasija Sevastova,0.6563,0.3437,RH,RH
2018-05-17,Elina Svitolina,Daria Kasatkina,0.6763,0.3237,RH,RH
2018-05-17,Jelena Ostapenko,Johanna Konta,0.4632,0.5369,RH,RH
2018-05-17,Simona Halep,Madison Keys,0.6329,0.3671,RH,RH
2018-05-18,Alexander Zverev,David Goffin,0.5222,0.4778,RH,RH
2018-05-18,Anett Kontaveit,Caroline Wozniacki,0.3653,0.6347,RH,RH
2018-05-18,Novak Djokovic,Kei Nishikori,0.6028,0.3972,RH,RH
2018-05-18,Simona Halep,Caroline Garcia,0.4973,0.5027,RH,RH
2018-05-20,Elina Svitolina,Simona Halep,0.5381,0.4619,RH,RH
2018-05-29,Garbine Muguruza,Svetlana Kuznetsova,0.4849,0.5151,RH,RH
2018-05-29,Kiki Bertens,Aryna Sabalenka,0.4718,0.5282,RH,RH
2018-05-31,Kiki Bertens,Aliaksandra Sasnovich,0.5299,0.47,RH,RH
2018-06-02,Karen Khachanov,Lucas Pouille,0.509,0.491,RH,RH
2018-06-04,Daria Kasatkina,Caroline Wozniacki,0.2704,0.7295,RH,RH
2018-06-04,Juan Martin Del Potro,John Isner,0.4315,0.5684,RH,RH
2018-06-04,Simona Halep,Elise Mertens,0.5274,0.4726,RH,RH
2018-06-07,Juan Martin Del Potro,Marin Cilic,0.5635,0.4365,RH,RH
2018-06-07,Simona Halep,Garbine Muguruza,0.5346,0.4654,RH,RH
2018-06-07,Sloane Stephens,Madison Keys,0.4409,0.5591,RH,RH
2018-06-11,Coco Vandeweghe,Aliaksandra Sasnovich,0.567,0.4331,RH,RH
2018-06-16,Roger Federer,Nick Kyrgios,0.5949,0.4052,RH,RH
2018-06-17,Ashleigh Barty,Johanna Konta,0.4819,0.5181,RH,RH
2018-06-17,Roger Federer,Milos Raonic,0.6105,0.3895,RH,RH
