player_name,Converted Name,WRank,hand
Robin Soderling,Soderling R.,18.0,RH
Michael Berrer,Berrer M.,79.0,LH
Florian Mayer,Mayer F.,51.0,RH
Radek Stepanek,Stepanek R.,107.0,RH
Roger Federer,Federer R.,17.0,RH
Nikolay Davydenko,Davydenko N.,48.0,RH
Marion Bartoli,Bartoli M.,79.0,RH
Dinara Safina,Safina D.,244.0,RH
Alicia Molik,Molik A.,3.0,RH
Sara Errani,Errani S.,53.0,RH
Kim Clijsters,Clijsters K.,76.0,RH
Victoria Azarenka,Azarenka V.,,RH
Klara Koukalova,Koukalova K.,76.0,RH
Jarmila Gajdosova,Gajdosova J.,10.0,RH
Gilles Simon,Simon G.,25.0,RH
Viktor Troicki,Troicki V.,29.0,RH
David Nalbandian,Nalbandian D.,386.0,RH
Lleyton Hewitt,Hewitt L.,64.0,RH
Alexandr Dolgopolov,Dolgopolov A.,69.0,RH
Andrea Petkovic,Petkovic A.,55.0,RH
Maria Sharapova,Sharapova M.,,RH
Francesca Schiavone,Schiavone F.,168.0,RH
Svetlana Kuznetsova,Kuznetsova S.,9.0,RH
Novak Djokovic,Djokovic N.,2.0,RH
Caroline Wozniacki,Wozniacki C.,19.0,RH
Na Li,Li N.,87.0,RH
Vera Zvonareva,Zvonareva V.,308.0,RH
David Ferrer,Ferrer D.,21.0,RH
Andy Murray,Murray A.,1.0,RH
Petra Kvitova,Kvitova P.,16.0,LH
Andy Roddick,Roddick A.,27.0,RH
Milos Raonic,Raonic M.,3.0,RH
Janko Tipsarevic,Tipsarevic J.,101.0,RH
Juan Martin Del Potro,Potro J.,42.0,RH
Richard Gasquet,Gasquet R.,18.0,RH
Aravane Rezai,Rezai A.,3.0,RH
Stan Wawrinka,Wawrinka S.,4.0,RH
Rafael Nadal,Nadal R.,9.0,LH
Mardy Fish,Fish M.,79.0,RH
Kei Nishikori,Nishikori K.,5.0,RH
Ryan Sweeting,Sweeting R.,14.0,RH
Jurgen Melzer,Melzer J.,68.0,LH
Sabine Lisicki,Lisicki S.,144.0,RH
Julia Goerges,Goerges J.,53.0,RH
Feliciano Lopez,Lopez F.,28.0,LH
Fernando Verdasco,Verdasco F.,42.0,LH
Kevin Anderson,Anderson K.,79.0,RH
Thomaz Bellucci,Bellucci T.,100.0,LH
Samantha Stosur,Stosur S.,23.0,RH
Agnieszka Radwanska,Radwanska A.,3.0,RH
Jo Wilfried Tsonga,Tsonga J.,12.0,RH
Ana Ivanovic,Ivanovic A.,27.0,RH
Venus Williams,Williams V.,17.0,RH
Kimiko Date Krumm,Krumm K.,52.0,RH
Dominika Cibulkova,Cibulkova D.,5.0,RH
Tamira Paszek,Paszek T.,15.0,RH
Serena Williams,Williams S.,2.0,RH
Tomas Berdych,Berdych T.,10.0,RH
Jelena Jankovic,Jankovic J.,54.0,RH
Angelique Kerber,Kerber A.,1.0,LH
Donald Young,Young D.,85.0,LH
Patricia Mayr Achleitner,Achleitner P.,95.0,RH
Grigor Dimitrov,Dimitrov G.,17.0,RH
Thomas Muster,Muster T.,15.0,LH
Dominic Thiem,Thiem D.,8.0,RH
Juan Monaco,Monaco J.,170.0,RH
John Isner,Isner J.,19.0,RH
Stefan Edberg,Edberg S.,9.0,RH
Yanina Wickmayer,Wickmayer Y.,58.0,RH
Simona Halep,Halep S.,4.0,RH
Mona Barthel,Barthel M.,181.0,RH
Shahar Peer,Peer S.,2.0,RH
Carla Suarez Navarro,Navarro C.,12.0,RH
Michael Llodra,Llodra M.,79.0,LH
Julien Benneteau,Benneteau J.,120.0,RH
Nicolas Almagro,Almagro N.,44.0,RH
Potito Starace,Starace P.,308.0,RH
Wayne Odesnik,Odesnik W.,,LH
Bernard Tomic,Tomic B.,27.0,RH
Tim Smyczek,Smyczek T.,162.0,RH
Ryan Harrison,Harrison R.,89.0,RH
Guillermo Garcia Lopez,Lopez G.,99.0,RH
Ivo Karlovic,Karlovic I.,20.0,RH
Albert Ramos,Ramos A.,3.0,LH
Pablo Andujar,Andujar P.,308.0,RH
Kiki Bertens,Bertens K.,22.0,RH
Benoit Paire,Paire B.,47.0,RH
Marin Cilic,Cilic M.,7.0,RH
Philipp Kohlschreiber,Kohlschreiber P.,32.0,RH
Elena Vesnina,Vesnina E.,18.0,RH
Kaia Kanepi,Kanepi K.,418.0,RH
Carlos Berlocq,Berlocq C.,90.0,RH
Tommy Haas,Haas T.,826.0,RH
Nadia Petrova,Petrova N.,129.0,RH
Urszula Radwanska,Radwanska U.,3.0,RH
Lukas Rosol,Rosol L.,214.0,RH
Varvara Lepchenko,Lepchenko V.,89.0,LH
Yaroslava Shvedova,Shvedova Y.,50.0,RH
Maria Kirilenko,Kirilenko M.,40.0,RH
Barbora Strycova,Strycova B.,20.0,RH
Jeremy Chardy,Chardy J.,71.0,RH
Qiang Wang,Wang Q.,71.0,RH
Mandy Minella,Minella M.,105.0,RH
Steve Darcis,Darcis S.,86.0,RH
Robin Haase,Haase R.,58.0,RH
Alejandro Falla,Falla A.,310.0,LH
Christina Mchale,Mchale C.,45.0,RH
Sofia Arvidsson,Arvidsson S.,23.0,RH
Fabio Fognini,Fognini F.,48.0,RH
Andreas Seppi,Seppi A.,89.0,RH
Daniela Hantuchova,Hantuchova D.,244.0,RH
Jarkko Nieminen,Nieminen J.,340.0,LH
Aleksandra Wozniak,Wozniak A.,27.0,RH
Laura Robson,Robson L.,64.0,LH
Marcos Baghdatis,Baghdatis M.,36.0,RH
Denis Istomin,Istomin D.,117.0,RH
Milos Sekulic,Sekulic M.,79.0,RH
Vladimir Ivanov,Ivanov V.,129.0,RH
Alexander Vasilenko,Vasilenko A.,271.0,RH
Ivan Dodig,Dodig I.,412.0,RH
Lourdes Dominguez Lino,Lino L.,62.0,RH
Andrea Hlavackova,Hlavackova A.,378.0,RH
Jerzy Janowicz,Janowicz J.,267.0,RH
Sam Querrey,Querrey S.,32.0,RH
Lucie Safarova,Safarova L.,62.0,LH
Benjamin Mitchell,Mitchell B.,162.0,RH
Roberto Bautista Agut,Agut R.,14.0,RH
Tsvetana Pironkova,Pironkova T.,63.0,RH
Ashleigh Barty,Barty A.,271.0,RH
Timea Babos,Babos T.,33.0,RH
Marinko Matosevic,Matosevic M.,40.0,RH
Kirsten Flipkens,Flipkens K.,73.0,RH
Monica Niculescu,Niculescu M.,38.0,RH
Shuai Peng,Peng S.,83.0,RH
Polona Hercog,Hercog P.,265.0,RH
Sloane Stephens,Stephens S.,934.0,RH
Romina Oprandi,Oprandi R.,14.0,RH
Garbine Muguruza,Muguruza G.,7.0,RH
Eleni Daniilidou,Daniilidou E.,83.0,RH
Valeria Savinykh,Savinykh V.,77.0,RH
Thanasi Kokkinakis,Kokkinakis T.,993.0,RH
Nick Kyrgios,Kyrgios N.,13.0,RH
Horacio Zeballos,Zeballos H.,71.0,LH
Kate Makarova,Makarova K.,34.0,LH
Malek Jaziri,Jaziri M.,56.0,RH
Ernests Gulbis,Gulbis E.,589.0,RH
Edouard Roger Vasselin,Vasselin E.,347.0,RH
Eugenie Bouchard,Bouchard E.,49.0,RH
Camila Giorgi,Giorgi C.,81.0,RH
Roberta Vinci,Vinci R.,18.0,RH
Mirjana Lucic,Lucic M.,79.0,RH
Tommy Robredo,Robredo T.,550.0,RH
Dmitry Tursunov,Tursunov D.,820.0,RH
Yulia Putintseva,Putintseva Y.,34.0,RH
Anastasia Pavlyuchenkova,Pavlyuchenkova A.,27.0,RH
Alexandra Dulgheru,Dulgheru A.,294.0,RH
Andrey Kuznetsov,Kuznetsov A.,48.0,RH
Alize Cornet,Cornet A.,41.0,RH
Monica Puig,Puig M.,46.0,RH
An Sophie Mestach,Mestach A.,27.0,RH
Johanna Konta,Konta J.,10.0,RH
Gael Monfils,Monfils G.,6.0,RH
Jan Hernych,Hernych J.,340.0,RH
Sorana Cirstea,Cirstea S.,78.0,RH
Bojana Jovanovski,Jovanovski B.,128.0,RH
Galina Voskoboeva,Voskoboeva G.,310.0,RH
Mischa Zverev,Zverev M.,51.0,LH
Mikhail Youzhny,Youzhny M.,57.0,RH
Nicolas Mahut,Mahut N.,39.0,RH
Elena Baltacha,Baltacha E.,347.0,RH
Flavia Pennetta,Pennetta F.,143.0,RH
Bethanie Mattek Sands,Sands B.,158.0,RH
Sergiy Stakhovsky,Stakhovsky S.,107.0,RH
Mathilde Johansson,Johansson M.,40.0,RH
Yvonne Meusburger,Meusburger Y.,103.0,RH
Johanna Larsson,Larsson J.,51.0,RH
Federico Delbonis,Delbonis F.,45.0,LH
James Ward,Ward J.,44.0,RH
Mitchell Krueger,Krueger M.,244.0,RH
Peter Polansky,Polansky P.,115.0,RH
Marcel Granollers,Granollers M.,37.0,RH
Bradley Klahn,Klahn B.,166.0,LH
Evgeny Donskoy,Donskoy E.,132.0,RH
Vasek Pospisil,Pospisil V.,129.0,RH
Lauren Davis,Davis L.,61.0,RH
Magdalena Rybarikova,Rybarikova M.,192.0,RH
Silvia Soler Espinosa,Espinosa S.,118.0,RH
Karolina Pliskova,Pliskova K.,6.0,RH
Ying Ying Duan,Duan Y.,103.0,RH
Heather Watson,Watson H.,81.0,RH
Dayana Yastremska,Yastremska D.,420.0,RH
Amina Anshba,Anshba A.,27.0,LH
Stefanie Voegele,Voegele S.,112.0,RH
Elina Svitolina,Svitolina E.,14.0,RH
Marcos Giron,Giron M.,79.0,RH
Rajeev Ram,Ram R.,137.0,RH
Tennys Sandgren,Sandgren T.,106.0,RH
Filip Peliwo,Peliwo F.,143.0,RH
Guilherme Clezar,Clezar G.,310.0,RH
Aleksandr Nedovyesov,Nedovyesov A.,47.0,RH
Teymuraz Gabashvili,Gabashvili T.,33.0,RH
Filippo Volandri,Volandri F.,143.0,RH
Alejandro Gonzalez,Gonzalez A.,163.0,RH
Caroline Garcia,Garcia C.,24.0,RH
Matthew Ebden,Ebden M.,564.0,RH
Tobias Kamke,Kamke T.,185.0,RH
Aljaz Bedene,Bedene A.,101.0,RH
Peter Gojowczyk,Gojowczyk P.,148.0,RH
Joao Souza,Souza J.,131.0,RH
Madison Keys,Keys M.,9.0,RH
Jose Rubin Statham,Statham J.,340.0,RH
Lukas Lacko,Lacko L.,121.0,RH
Michal Przysiezny,Przysiezny M.,40.0,RH
Jack Sock,Sock J.,23.0,RH
Yen Hsun Lu,Lu Y.,64.0,RH
Estrella Cabeza Candela,Candela E.,347.0,RH
Ricardas Berankis,Berankis R.,177.0,RH
Ana Konjuh,Konjuh A.,47.0,RH
Belinda Bencic,Bencic B.,128.0,RH
Alla Kudryavtseva,Kudryavtseva A.,47.0,RH
Carina Witthoeft,Witthoeft C.,89.0,RH
Anastasia Rodionova,Rodionova A.,669.0,RH
Benjamin Becker,Becker B.,166.0,RH
Katarzyna Piter,Piter K.,52.0,RH
Alison Riske Amritraj,Amritraj A.,27.0,RH
Damir Dzumhur,Dzumhur D.,86.0,RH
Jie Zheng,Zheng J.,44.0,RH
Casey Dellacqua,Dellacqua C.,208.0,LH
Zarina Diyas,Diyas Z.,130.0,RH
Takanyi Garanganga,Garanganga T.,33.0,RH
Tsung Hua Yang,Yang T.,63.0,RH
Hiroki Moriya,Moriya H.,,RH
Matt Reid,Reid M.,79.0,RH
Karin Knapp,Knapp K.,52.0,RH
Petra Cetkovska,Cetkovska P.,95.0,RH
Daniel Gimeno Traver,Traver D.,244.0,RH
Albert Montanes,Montanes A.,312.0,RH
Joao Sousa,Sousa J.,44.0,RH
Kurumi Nara,Nara K.,76.0,RH
Jiri Vesely,Vesely J.,55.0,LH
Lukasz Kubot,Kubot L.,64.0,RH
Pablo Carreno Busta,Busta P.,30.0,RH
Adrian Mannarino,Mannarino A.,65.0,LH
Thiemo De Bakker,Bakker T.,15.0,RH
Dusan Lajovic,Lajovic D.,94.0,RH
Kristyna Pliskova,Pliskova K.,6.0,LH
Mohamed Safwat,Safwat M.,282.0,RH
Eduardo Russi,Russi E.,14.0,RH
Vania King,King V.,77.0,RH
